"","YOB","Gender","Income","HouseholdStatus","EducationLevel","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","UserId"
"37210",1940,"Male","$50,000 - $74,999","Married (no kids)","Master's Degree","No","Yes","No","No","No","No","Public","No","Yes","No","No","Yes","Yes","Yes","Science","Study first","No","Yes","No","No","Giving","Yes","No","Idealist","Yes","No","Hot headed","Odd hours","Yes","Right","Yes","Yes","No","No","P.M.","Yes","Start","Yes","Yes","Me","Yes","Yes","Yes","Yes","Yes","TMI","No","No","Tunes","Technology","No","No","Yes","No","No","Demanding","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","No","Yes","Yes","Yay people!","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Own","Optimist","Dad","Yes","Yes","Yes","Yes","Check!","No","No","No","Yes","No","Yes","Yes","No","No","Yes",1925
"37310",1996,"Male","under $25,000","Single (no kids)","High School Diploma","Yes","No","No","No","Yes","No","Public","Yes","Yes","No","Yes","Yes","Yes","Yes","Science","Try first","Yes","Yes","No","No","Giving","No","Yes","Idealist","Yes","Yes","Hot headed","Standard hours","No","Happy","No","Yes","No","No","P.M.","Yes","End","No","Yes","Me","No","Yes","No","Yes","Yes","Mysterious","No","Yes","Tunes","Technology","Yes","Yes","Yes","Yes","Yes","Demanding","Yes","PC","Yes","Risk-friendly","No","Yes!","Yes","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","Yes","No","No","No","No","Yes","No","No","No","Yes","Rent","Pessimist","Mom","No","No","No","Yes","Nope","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes",1936
"37410",1970,"Male","$100,001 - $150,000","Married (w/kids)","Bachelor's Degree","No","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Try first","Yes","Yes","Yes","No","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","Yes","Circumstances","No","No","Yes","No","Yes","Mysterious","No","Yes","Tunes","People","No","Yes","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","No","Umm...","No","Space","No","Online","No","Yes","Yes","Yes","Grrr people","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","Yes","Own","Optimist","Dad","Yes","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes",1940
"37510",1960,"Male","$100,001 - $150,000","Married (w/kids)","Bachelor's Degree","No","Yes","No","Yes","Yes","No","Public","No","Yes","No","No","No","Yes","Yes","Science","Study first","No","No","Yes","No","Giving","Yes","No","Idealist","Yes","No","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","No","A.M.","No","Start","Yes","Yes","Me","Yes","No","Yes","No","Yes","TMI","No","Yes","Talk","People","Yes","No","Yes","No","No","Supportive","No","PC","No","Risk-friendly","No","Yes!","No","Socialize","No","In-person","No","Yes","Yes","No","Yay people!","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Own","Optimist","Dad","Yes","No","No","No","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes",1941
"37610",1969,"Female","over $150,000","Married (no kids)","High School Diploma","No","Yes","No","No","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Try first","No","Yes","Yes","Yes","Giving","Yes","No","Pragmatist","Yes","No","Cool headed","Standard hours","Yes","Right","Yes","Yes","No","No","P.M.","Yes","End","Yes","No","Circumstances","Yes","No","No","Yes","No","Mysterious","Yes","No","Tunes","People","No","No","Yes","No","Yes","Demanding","Yes","PC","Yes","Risk-friendly","No","Umm...","No","Space","No","In-person","No","Yes","Yes","No","Grrr people","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Own","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","No","No","Yes","No","No","Yes",1947
"37710",1981,"Female","$25,001 - $50,000","Single (no kids)","Bachelor's Degree","Yes","Yes","No","Yes","No","No","Public","Yes","Yes","No","Yes","Yes","Yes","Yes","Art","Study first","Yes","No","Yes","Yes","Giving","Yes","No","Idealist","No","Yes","Hot headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","No","Me","Yes","No","No","No","No","TMI","Yes","Yes","Tunes","People","No","Yes","Yes","No","Yes","Demanding","Yes","Mac","Yes","Cautious","Yes","Yes!","Yes","Space","No","In-person","Yes","Yes","Yes","Yes","Grrr people","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Rent","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes",1948
"37810",1969,"Female","over $150,000","Married (no kids)","Bachelor's Degree","No","No","No","No","Yes","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","No","Yes","Yes","No","Giving","Yes","No","Idealist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","No","P.M.","Yes","Start","Yes","No","Me","No","No","Yes","Yes","No","TMI","No","Yes","Tunes","Technology","Yes","No","No","No","Yes","Demanding","No","Mac","Yes","Risk-friendly","No","Yes!","No","Socialize","Yes","Online","No","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Own","Optimist","Dad","No","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes",1959
"37910",1979,"Female","$50,000 - $74,999","Married (w/kids)","Bachelor's Degree","No","Yes","No","Yes","Yes","No","Public","No","Yes","No","Yes","No","Yes","No","Science","Study first","Yes","Yes","Yes","No","Giving","No","Yes","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","Yes","A.M.","Yes","Start","Yes","No","Circumstances","Yes","Yes","No","Yes","Yes","Mysterious","Yes","No","Talk","Technology","No","No","Yes","Yes","Yes","Supportive","No","Mac","Yes","Cautious","Yes","Umm...","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Own","Optimist","Dad","Yes","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1963
"38010",1976,"Female","$25,001 - $50,000","Single (no kids)","Current Undergraduate","No","Yes","No","Yes","Yes","No","Public","Yes","Yes","No","Yes","Yes","No","Yes","Science","Try first","No","No","No","No","Giving","No","No","Pragmatist","No","No","Cool headed","Standard hours","No","Right","Yes","Yes","No","Yes","P.M.","Yes","Start","Yes","No","Me","Yes","No","Yes","No","No","TMI","No","Yes","Talk","Technology","Yes","No","Yes","No","No","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","Yes","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Own","Optimist","Mom","Yes","Yes","Yes","Yes","Check!","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No",1966
"38110",1991,"Male","$50,000 - $74,999","Single (no kids)","Bachelor's Degree","No","No","No","No","No","No","Public","No","Yes","Yes","Yes","Yes","No","Yes","Art","Study first","No","Yes","Yes","Yes","Giving","No","No","Idealist","No","Yes","Hot headed","Odd hours","Yes","Happy","Yes","No","Yes","Yes","A.M.","Yes","End","Yes","No","Me","No","No","Yes","Yes","No","TMI","Yes","No","Tunes","Technology","No","Yes","Yes","Yes","Yes","Supportive","No","Mac","Yes","Risk-friendly","No","Yes!","No","Socialize","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Rent","Pessimist","Mom","Yes","No","Yes","Yes","Check!","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes",1968
"38210",1979,"Male","$50,000 - $74,999","Married (w/kids)","Current Undergraduate","No","No","No","Yes","No","No","Public","No","Yes","No","No","No","No","Yes","Science","Try first","No","Yes","No","Yes","Receiving","Yes","No","Pragmatist","No","No","Hot headed","Standard hours","Yes","Right","No","No","Yes","No","P.M.","Yes","End","No","Yes","Me","No","Yes","No","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","No","Yes","Yes","No","Supportive","Yes","Mac","Yes","Cautious","No","Umm...","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","Own","Pessimist","Dad","Yes","No","No","Yes","Nope","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No",1975
"38310",1955,"Male","$100,001 - $150,000","Married (w/kids)","High School Diploma","No","No","No","No","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Study first","No","Yes","No","No","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","No","Right","Yes","Yes","No","No","A.M.","Yes","Start","Yes","No","Circumstances","Yes","No","Yes","Yes","Yes","Mysterious","Yes","No","Talk","Technology","No","Yes","Yes","No","No","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","Own","Optimist","Dad","Yes","Yes","No","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes",1978
"38410",1973,"Male","$75,000 - $100,000","Married (w/kids)","Associate's Degree","No","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","No","No","Yes","Science","Study first","No","Yes","Yes","No","Giving","No","No","Pragmatist","No","No","Cool headed","Standard hours","No","Right","Yes","Yes","Yes","No","P.M.","Yes","End","Yes","Yes","Circumstances","No","No","No","Yes","Yes","Mysterious","Yes","No","Talk","Technology","No","No","Yes","Yes","Yes","Supportive","No","PC","Yes","Risk-friendly","No","Yes!","No","Space","Yes","In-person","Yes","Yes","Yes","No","Yay people!","Yes","No","Yes","No","No","No","Yes","No","No","Yes","No","No","Own","Optimist","Mom","No","Yes","No","Yes","Nope","No","No","No","Yes","No","No","Yes","No","No","Yes",1982
"38510",1977,"Male","$50,000 - $74,999","Domestic Partners (no kids)","Current Undergraduate","No","Yes","No","Yes","Yes","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","Yes","Yes","Yes","No","Giving","No","No","Idealist","Yes","No","Hot headed","Odd hours","Yes","Right","No","Yes","Yes","No","P.M.","No","Start","Yes","Yes","Circumstances","Yes","Yes","No","No","No","Mysterious","No","No","Talk","People","No","Yes","Yes","Yes","Yes","Demanding","No","PC","Yes","Cautious","No","Umm...","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Own","Pessimist","Dad","Yes","No","Yes","Yes","Check!","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes",1995
"38610",1992,"Female","$25,001 - $50,000","Single (no kids)","Associate's Degree","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","Yes","No","No","Art","Study first","No","No","No","No","Giving","No","Yes","Pragmatist","No","No","Hot headed","Odd hours","No","Happy","Yes","Yes","Yes","Yes","P.M.","No","End","No","No","Circumstances","No","No","No","No","No","TMI","No","No","Tunes","People","No","No","Yes","Yes","Yes","Demanding","No","PC","Yes","Cautious","No","Umm...","Yes","Socialize","No","Online","Yes","No","Yes","Yes","Grrr people","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","Own","Pessimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","Yes","No","No","Yes","No","No","Yes",1999
"38710",1983,"Male","over $150,000","Married (no kids)","Bachelor's Degree","Yes","Yes","No","Yes","Yes","No","Public","Yes","No","No","Yes","Yes","Yes","Yes","Science","Study first","Yes","Yes","No","No","Giving","Yes","No","Idealist","Yes","No","Hot headed","Standard hours","Yes","Right","No","Yes","No","Yes","P.M.","Yes","Start","Yes","Yes","Me","Yes","Yes","No","Yes","Yes","TMI","No","No","Talk","People","No","No","Yes","Yes","Yes","Demanding","Yes","Mac","Yes","Cautious","No","Yes!","No","Space","No","Online","Yes","No","Yes","Yes","Grrr people","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Rent","Pessimist","Dad","No","Yes","No","Yes","Check!","Yes","No","No","No","No","Yes","Yes","No","No","No",2002
"38810",1998,"Male","$75,000 - $100,000","Single (no kids)","Current K-12","Yes","No","No","No","No","No","Public","No","No","No","No","No","Yes","Yes","Science","Study first","No","Yes","Yes","Yes","Receiving","No","Yes","Pragmatist","No","No","Hot headed","Standard hours","Yes","Happy","No","No","Yes","Yes","P.M.","Yes","End","Yes","Yes","Me","Yes","Yes","No","Yes","No","TMI","Yes","No","Tunes","People","No","Yes","Yes","Yes","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Socialize","No","In-person","Yes","No","Yes","Yes","Grrr people","No","No","Yes","No","No","No","No","Yes","No","Yes","No","No","Own","Pessimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes",2014
"38910",1984,"Male","under $25,000","Single (no kids)","Associate's Degree","Yes","Yes","Yes","No","Yes","No","Public","No","No","No","Yes","No","No","Yes","Art","Try first","No","No","No","Yes","Receiving","Yes","Yes","Idealist","No","Yes","Cool headed","Odd hours","No","Happy","No","No","No","No","P.M.","Yes","Start","Yes","No","Circumstances","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Cautious","No","Umm...","No","Space","No","In-person","No","No","No","Yes","Grrr people","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","Rent","Pessimist","Dad","No","Yes","Yes","Yes","Nope","Yes","No","No","No","No","Yes","Yes","No","No","Yes",2028
"39010",1982,"Male","$75,000 - $100,000","Married (w/kids)","Bachelor's Degree","No","No","No","Yes","No","Yes","Public","No","Yes","No","Yes","No","No","Yes","Science","Try first","No","No","Yes","No","Giving","No","Yes","Pragmatist","Yes","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","No","Start","Yes","Yes","Me","Yes","No","Yes","No","No","TMI","No","Yes","Talk","People","Yes","Yes","Yes","Yes","Yes","Supportive","No","Mac","Yes","Risk-friendly","No","Yes!","No","Socialize","No","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Own","Optimist","Dad","No","Yes","Yes","Yes","Nope","No","No","No","Yes","Yes","No","Yes","No","Yes","No",2031
"39110",1974,"Female","over $150,000","Married (w/kids)","Doctoral Degree","Yes","Yes","No","No","No","Yes","Public","No","Yes","No","Yes","Yes","Yes","Yes","Art","Study first","No","Yes","No","No","Receiving","No","No","Idealist","No","Yes","Hot headed","Odd hours","Yes","Right","No","Yes","Yes","Yes","P.M.","Yes","Start","No","No","Me","Yes","Yes","Yes","Yes","No","TMI","Yes","No","Tunes","People","No","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Risk-friendly","Yes","Umm...","No","Space","Yes","In-person","No","Yes","No","Yes","Grrr people","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Own","Optimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes",2034
"39210",1971,"Male","$75,000 - $100,000","Married (w/kids)","Master's Degree","Yes","No","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","Yes","Yes","Art","Study first","Yes","Yes","Yes","Yes","Giving","Yes","Yes","Idealist","No","Yes","Cool headed","Standard hours","Yes","Happy","No","Yes","Yes","No","A.M.","Yes","End","Yes","No","Me","No","No","No","No","No","Mysterious","No","Yes","Tunes","Technology","Yes","Yes","Yes","Yes","Yes","Supportive","No","Mac","Yes","Cautious","No","Umm...","No","Space","Yes","Online","Yes","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Own","Optimist","Mom","Yes","No","Yes","Yes","Check!","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",2036
"39310",1977,"Female","$50,000 - $74,999","Single (no kids)","Bachelor's Degree","Yes","No","Yes","Yes","Yes","No","Public","No","Yes","No","Yes","No","No","Yes","Science","Study first","Yes","Yes","No","No","Giving","Yes","Yes","Pragmatist","No","Yes","Hot headed","Standard hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","No","Yes","No","Yes","No","TMI","No","Yes","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","Yes","Mac","Yes","Cautious","Yes","Umm...","No","Space","No","Online","No","Yes","Yes","Yes","Grrr people","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Rent","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","Yes","No","Yes","No","Yes","Only-child","Yes","No","Yes",2037
"39410",1986,"Female","over $150,000","Married (no kids)","Bachelor's Degree","Yes","Yes","No","Yes","Yes","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Study first","No","Yes","No","Yes","Giving","No","No","Pragmatist","Yes","No","Cool headed","Odd hours","No","Right","Yes","Yes","Yes","No","P.M.","Yes","End","Yes","Yes","Circumstances","No","No","No","No","No","Mysterious","No","Yes","Tunes","Technology","Yes","Yes","Yes","No","No","Demanding","No","Mac","Yes","Cautious","No","Yes!","No","Space","No","Online","No","Yes","Yes","Yes","Grrr people","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Own","Pessimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes",2040
"39510",1980,"Female","$75,000 - $100,000","Married (w/kids)","High School Diploma","No","No","No","No","No","No","Public","No","Yes","No","Yes","Yes","Yes","Yes","Art","Try first","No","Yes","Yes","No","Giving","Yes","No","Pragmatist","No","Yes","Cool headed","Standard hours","No","Happy","Yes","No","Yes","No","A.M.","Yes","End","Yes","No","Circumstances","Yes","No","No","No","Yes","Mysterious","No","No","Tunes","People","Yes","Yes","No","Yes","No","Demanding","No","PC","Yes","Risk-friendly","No","Yes!","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Own","Optimist","Dad","No","Yes","No","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","No","No",2041
"39610",1969,"Female","$75,000 - $100,000","Single (no kids)","Bachelor's Degree","No","Yes","No","Yes","No","Yes","Public","Yes","Yes","No","Yes","No","No","Yes","Art","Try first","Yes","Yes","Yes","No","Giving","Yes","Yes","Idealist","No","Yes","Hot headed","Odd hours","Yes","Happy","No","Yes","Yes","Yes","P.M.","No","Start","Yes","No","Me","No","No","No","No","No","TMI","No","Yes","Tunes","Technology","Yes","Yes","No","No","No","Supportive","No","Mac","Yes","Cautious","No","Yes!","No","Socialize","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","Own","Optimist","Dad","No","Yes","Yes","Yes","Check!","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes",2042
"39710",1974,"Male","over $150,000","Married (w/kids)","Master's Degree","No","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","Yes","Yes","Science","Try first","No","No","Yes","No","Giving","No","No","Pragmatist","No","Yes","Cool headed","Standard hours","No","Right","No","Yes","Yes","No","P.M.","Yes","End","No","Yes","Me","No","No","Yes","Yes","No","TMI","No","No","Talk","Technology","No","No","Yes","Yes","Yes","Demanding","No","PC","No","Risk-friendly","No","Yes!","No","Space","No","Online","Yes","Yes","Yes","No","Yay people!","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","Own","Optimist","Dad","No","Yes","No","No","Check!","Yes","No","No","Yes","Yes","No","Only-child","No","No","Yes",2043
"39810",1978,"Female","$100,001 - $150,000","Married (w/kids)","Bachelor's Degree","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","No","No","Yes","Art","Try first","Yes","Yes","Yes","No","Giving","Yes","No","Pragmatist","No","Yes","Cool headed","Odd hours","Yes","Happy","No","Yes","Yes","No","A.M.","Yes","Start","Yes","Yes","Circumstances","No","Yes","Yes","No","No","Mysterious","No","Yes","Talk","People","Yes","Yes","Yes","Yes","Yes","Demanding","No","PC","Yes","Risk-friendly","Yes","Yes!","No","Socialize","No","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Own","Optimist","Dad","Yes","No","Yes","Yes","Check!","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes",2056
"39910",1950,"Female","$50,000 - $74,999","Single (w/kids)","Master's Degree","No","No","No","No","No","No","Private","No","Yes","No","No","Yes","Yes","Yes","Science","Study first","No","No","No","Yes","Giving","No","No","Idealist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","No","A.M.","Yes","End","Yes","No","Circumstances","No","No","Yes","No","No","Mysterious","No","No","Tunes","People","Yes","No","No","No","Yes","Supportive","No","Mac","No","Risk-friendly","Yes","Yes!","No","Space","Yes","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Own","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No",2058
"40010",1989,"Male","under $25,000","Single (no kids)","Current Undergraduate","No","No","No","No","No","No","Public","Yes","Yes","No","Yes","No","Yes","Yes","Science","Study first","No","Yes","No","No","Receiving","No","Yes","Idealist","No","Yes","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","Yes","A.M.","Yes","End","Yes","No","Circumstances","No","No","Yes","Yes","No","Mysterious","No","No","Tunes","People","No","No","Yes","No","Yes","Supportive","No","Mac","Yes","Cautious","No","Yes!","No","Socialize","No","In-person","Yes","Yes","No","Yes","Yay people!","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","Rent","Optimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes",2064
"40110",1992,"Male","$50,000 - $74,999","Single (no kids)","Current Undergraduate","Yes","Yes","No","Yes","Yes","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Try first","No","Yes","Yes","No","Giving","Yes","No","Idealist","No","No","Cool headed","Standard hours","Yes","Happy","No","Yes","No","Yes","A.M.","Yes","End","No","No","Circumstances","No","Yes","Yes","Yes","Yes","Mysterious","Yes","No","Tunes","Technology","No","Yes","Yes","Yes","Yes","Supportive","Yes","PC","Yes","Cautious","Yes","Yes!","Yes","Socialize","Yes","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","Own","Optimist","Dad","No","Yes","Yes","No","Nope","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes",2069
"40210",1945,"Female","under $25,000","Domestic Partners (no kids)","Associate's Degree","No","No","No","No","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Art","Try first","Yes","No","No","No","Giving","Yes","No","Pragmatist","No","Yes","Cool headed","Odd hours","No","Happy","No","Yes","No","No","A.M.","Yes","Start","Yes","Yes","Me","Yes","No","Yes","No","Yes","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Demanding","Yes","PC","Yes","Cautious","No","Yes!","No","Socialize","Yes","Online","Yes","Yes","Yes","No","Yay people!","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Own","Optimist","Dad","Yes","Yes","Yes","No","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","No",2080
"40310",1974,"Male","$100,001 - $150,000","Married (w/kids)","Master's Degree","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","Yes","Yes","No","Science","Study first","Yes","Yes","No","Yes","Giving","Yes","Yes","Idealist","No","Yes","Cool headed","Odd hours","No","Happy","Yes","Yes","Yes","Yes","A.M.","Yes","Start","No","No","Me","No","No","No","Yes","Yes","Mysterious","Yes","No","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","Yes","Yes!","No","Space","No","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Own","Optimist","Dad","No","Yes","No","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Only-child","No","No","Yes",2083
"40410",1953,"Male","over $150,000","Married (no kids)","Associate's Degree","No","Yes","No","Yes","No","Yes","Public","Yes","Yes","No","No","Yes","No","Yes","Science","Try first","Yes","Yes","No","No","Giving","Yes","Yes","Idealist","No","No","Cool headed","Standard hours","No","Right","No","Yes","Yes","Yes","A.M.","Yes","Start","Yes","No","Me","No","No","Yes","Yes","No","TMI","No","Yes","Talk","People","Yes","No","Yes","Yes","No","Supportive","Yes","Mac","Yes","Cautious","No","Yes!","No","Space","No","Online","No","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","No","No","Yes","No","No","No","Yes","No","Own","Optimist","Dad","Yes","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes",2087
"40510",1964,"Male","$50,000 - $74,999","Single (no kids)","Master's Degree","No","No","No","Yes","Yes","Yes","Public","No","Yes","No","No","No","Yes","Yes","Science","Study first","No","Yes","Yes","No","Giving","Yes","Yes","Pragmatist","Yes","No","Cool headed","Standard hours","No","Right","Yes","Yes","Yes","No","A.M.","No","Start","No","No","Me","Yes","Yes","No","Yes","Yes","Mysterious","Yes","No","Tunes","People","No","Yes","Yes","Yes","Yes","Demanding","No","PC","Yes","Cautious","Yes","Umm...","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Own","Pessimist","Mom","No","No","No","Yes","Check!","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No",2093
"40610",1968,"Male","$75,000 - $100,000","Married (w/kids)","Associate's Degree","No","Yes","No","No","Yes","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Study first","No","No","No","No","Receiving","No","No","Pragmatist","No","Yes","Hot headed","Standard hours","No","Right","Yes","Yes","No","No","A.M.","Yes","End","No","Yes","Me","Yes","No","Yes","No","No","TMI","Yes","No","Talk","Technology","No","Yes","Yes","Yes","No","Supportive","No","PC","Yes","Cautious","No","Umm...","No","Space","No","In-person","No","Yes","No","No","Grrr people","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","Own","Pessimist","Mom","Yes","Yes","Yes","No","Nope","Yes","No","No","Yes","No","No","Yes","No","No","No",2100
