ID,Team.Name,Public.Score,Public.Rank,Private.Score,Private.Rank,Delta.Score,Delta.Rank
440,mayes1119,0.63793,948,0.63793,439,0.00000,-509
441,Muni Kumar,0.62931,1731,0.63793,440,0.00862,-1291
442,R-G-T,0.61925,2188,0.63793,441,0.01868,-1747
443,techonly,0.63649,1058,0.63793,442,0.00144,-616
444,AbhinavGarole,0.66236,70,0.63793,443,-0.02443,373
445,AndreasDörsam,0.63506,1144,0.63793,444,0.00287,-700
446,Al C,0.63362,1231,0.63793,445,0.00431,-786
447,JanineWei,0.63793,957,0.63793,446,0.00000,-511
448,satheeshkumar,0.64799,398,0.63793,447,-0.01006,49
449,dtragoud,0.63506,1134,0.63793,448,0.00287,-686
450,Yixiao Jiang,0.62356,2038,0.63793,449,0.01437,-1589
451,jesumariaantony,0.64224,681,0.63793,450,-0.00431,-231
452,Guus,0.65086,258,0.63793,451,-0.01293,193
453,manualrg,0.64080,773,0.63793,452,-0.00287,-321
454,ldelacerna,0.63506,1155,0.63793,453,0.00287,-702
455,Kyle L,0.62500,1966,0.63649,454,0.01149,-1512
456,laicheeonn,0.62644,1833,0.63649,455,0.01005,-1378
457,AnalyticsMike,0.63506,1074,0.63649,456,0.00143,-618
458,ChristosCharalampous,0.62931,1489,0.63649,457,0.00718,-1032
459,NathAE,0.64511,472,0.63649,458,-0.00862,-14
460,Nikeeth Ramanathan,0.64799,352,0.63649,459,-0.01150,107
461,MartinTengelin,0.64368,545,0.63649,460,-0.00719,-85
462,kalimu,0.63362,1165,0.63649,461,0.00287,-704
463,David Pérez,0.64368,543,0.63649,462,-0.00719,-81
464,Steven Gomez Lenis,0.63506,1078,0.63649,463,0.00143,-615
465,WilliamSniekers,0.62500,1918,0.63649,464,0.01149,-1454
466,GeorgeCy,0.66236,59,0.63649,465,-0.02587,406
467,lori314,0.64224,630,0.63649,466,-0.00575,-164
468,Manolis Kyriakakis,0.65086,250,0.63649,467,-0.01437,217
469,Bab64,0.64655,414,0.63649,468,-0.01006,54
470,Diego Alfaro,0.64224,637,0.63649,469,-0.00575,-168
471,Minkowski,0.63506,1091,0.63649,470,0.00143,-621
472,isaiev,0.63649,971,0.63649,471,0.00000,-500
473,Martins Zviedris,0.63362,1172,0.63649,472,0.00287,-700
474,Saverio,0.64224,642,0.63649,473,-0.00575,-169
475,AmbarishBanerjee,0.62069,2094,0.63649,474,0.01580,-1620
476,xbeancounter,0.63075,1400,0.63649,475,0.00574,-925
477,Arun Varghese Roy,0.63937,801,0.63649,476,-0.00288,-325
478,slackoverflow,0.62931,1682,0.63649,477,0.00718,-1205
479,subhabroto,0.64080,712,0.63649,478,-0.00431,-234
480,nthl,0.65086,294,0.63649,479,-0.01437,185
481,G Pashov,0.65230,208,0.63649,480,-0.01581,272
482,DaaSomNuTilsistOchForAlltid,0.65086,257,0.63649,481,-0.01437,224
483,pj51m,0.64943,302,0.63649,482,-0.01294,180
484,AndresCo,0.64368,553,0.63649,483,-0.00719,-70
485,MagaliDrumare,0.64224,622,0.63649,484,-0.00575,-138
486,MikeKirk,0.62356,1995,0.63649,485,0.01293,-1510
487,Saikumar,0.62213,2049,0.63649,486,0.01436,-1563
488,Littlesister,0.64368,567,0.63649,487,-0.00719,-80
489,PJ,0.66092,76,0.63649,488,-0.02443,412
490,Wlodzimierz Borkowski,0.66523,46,0.63649,489,-0.02874,443
491,Rebinth Robin J,0.63218,1350,0.63649,490,0.00431,-860
492,HmZzah,0.62787,1779,0.63649,491,0.00862,-1288
493,The bus with the number 22,0.64943,315,0.63649,492,-0.01294,177
494,Nader Emami,0.64080,720,0.63649,493,-0.00431,-227
495,SeaBreeze,0.64655,429,0.63649,494,-0.01006,65
496,Lingyun,0.63506,1107,0.63649,495,0.00143,-612
497,pushdlimits,0.63075,1409,0.63649,496,0.00574,-913
498,Eric Do Huynh Long,0.64080,734,0.63649,497,-0.00431,-237
499,Mariano Fernandez,0.64368,564,0.63649,498,-0.00719,-66
500,jmhdassen,0.61925,2244,0.63649,499,0.01724,-1745
501,mjalkio,0.64655,436,0.63649,500,-0.01006,64
502,cgronnerod,0.65086,267,0.63649,501,-0.01437,234
503,MohamedHomossani,0.66954,32,0.63649,502,-0.03305,470
504,abirjameel,0.62644,1845,0.63649,503,0.01005,-1342
505,RajuGurusamy,0.62213,2056,0.63649,504,0.01436,-1552
506,AnhTuan,0.63649,1010,0.63649,505,0.00000,-505
507,jgcameron,0.64080,723,0.63649,506,-0.00431,-217
508,David Lyng,0.65086,270,0.63649,507,-0.01437,237
509,varakavipr,0.64799,390,0.63649,508,-0.01150,118
510,rasnes,0.63362,1213,0.63649,509,0.00287,-704
511,onfire,0.62931,1497,0.63649,510,0.00718,-987
512,Ronald,0.65805,114,0.63649,511,-0.02156,397
513,karthikjeeva,0.64080,736,0.63649,512,-0.00431,-224
514,Avarice Mine,0.63937,833,0.63649,513,-0.00288,-320
515,AlexandreNakamura,0.63793,903,0.63649,514,-0.00144,-389
516,Bob Caracristi,0.64368,571,0.63649,515,-0.00719,-56
517,PhilippeFaucon,0.62500,1955,0.63649,516,0.01149,-1439
518,HWeS,0.64080,741,0.63649,517,-0.00431,-224
519,kserxes,0.63649,1039,0.63649,518,0.00000,-521
520,Yuri Bochkarev,0.62787,1804,0.63649,519,0.00862,-1285
521,zentek,0.64080,743,0.63649,520,-0.00431,-223
522,StevenSmith,0.62931,1657,0.63649,521,0.00718,-1136
523,Zombie Tech,0.65086,283,0.63649,522,-0.01437,239
524,Mike G,0.62931,1702,0.63649,523,0.00718,-1179
525,Atun Anggara,0.64511,526,0.63649,524,-0.00862,-2
526,vanilla-ic,0.65086,289,0.63649,525,-0.01437,236
527,Jeff Jager,0.65086,281,0.63649,526,-0.01437,245
528,Anuj S Pandit,0.62213,2068,0.63649,527,0.01436,-1541
529,VenkateshLaguduva,0.61925,2331,0.63649,528,0.01724,-1803
530,Karan,0.65230,238,0.63649,529,-0.01581,291
531,suresubs,0.64080,756,0.63649,530,-0.00431,-226
532,Gers32,0.64943,329,0.63649,531,-0.01294,202
533,Robert,0.65230,240,0.63649,532,-0.01581,292
534,Prometejs,0.66379,55,0.63649,533,-0.02730,478
535,ADataEnthusiast,0.62787,1806,0.63649,534,0.00862,-1272
536,Nelson Chacon,0.63649,1030,0.63649,535,0.00000,-495
537,rocknonagon,0.65230,241,0.63649,536,-0.01581,295
538,WolfeGerecht,0.64943,313,0.63649,537,-0.01294,224
539,Ravi Shankar Karedla,0.65661,132,0.63649,538,-0.02012,406
540,NandaKanda,0.65805,108,0.63649,539,-0.02156,431
541,Ritesh Sinha,0.63362,1248,0.63649,540,0.00287,-708
542,NTavou,0.63506,1148,0.63649,541,0.00143,-607
543,wjlgatech,0.63218,1372,0.63649,542,0.00431,-830
544,Pedro Luis,0.63649,1067,0.63649,543,0.00000,-524
545,matbrux,0.64080,774,0.63649,544,-0.00431,-230
546,czuee,0.64368,550,0.63649,545,-0.00719,-5
547,dowkel,0.62213,2081,0.63649,546,0.01436,-1535
548,hfan,0.62931,1743,0.63649,547,0.00718,-1196
549,rocksalt,0.65374,196,0.63649,548,-0.01725,352
550,fab64443,0.65086,245,0.63506,549,-0.01580,304
551,connex,0.62787,1758,0.63506,550,0.00719,-1208
552,Raphael Volz,0.64511,467,0.63506,551,-0.01005,84
553,penakazato,0.63793,873,0.63506,552,-0.00287,-321
554,Imad,0.64943,296,0.63506,553,-0.01437,257
555,Khaled Fayed,0.64224,596,0.63506,554,-0.00718,-42
556,Paolo Mid,0.63793,880,0.63506,555,-0.00287,-325
557,AyushGoyal,0.63075,1386,0.63506,556,0.00431,-830
558,Stanislav Kucherenko,0.65086,249,0.63506,557,-0.01580,308
559,Ahmed Ashhar,0.62500,1912,0.63506,558,0.01006,-1354
560,brijeshgautam,0.63218,1262,0.63506,559,0.00288,-703
561,FourMoBro,0.63218,1263,0.63506,560,0.00288,-703
562,barryes,0.63218,1265,0.63506,561,0.00288,-704
563,JeffreyBailes,0.64943,305,0.63506,562,-0.01437,257
564,YongqiWu,0.62500,1921,0.63506,563,0.01006,-1358
565,FuyangLiu,0.63075,1391,0.63506,564,0.00431,-827
566,AdityaLiviandi,0.62931,1509,0.63506,565,0.00575,-944
567,dickmaat,0.62356,2036,0.63506,566,0.01150,-1470
568,Vitaly,0.63218,1276,0.63506,567,0.00288,-709
569,Steptoe,0.63218,1289,0.63506,568,0.00288,-721
570,oaktree,0.65805,95,0.63506,569,-0.02299,474
571,BramPellens,0.64224,609,0.63506,570,-0.00718,-39
572,maxWen,0.63793,895,0.63506,571,-0.00287,-324
573,epiminusone,0.60489,2554,0.63506,572,0.03017,-1982
574,Chintan Shah,0.62931,1552,0.63506,573,0.00575,-979
575,nightfury,0.63506,1093,0.63506,574,0.00000,-519
576,Basil_K,0.62213,2048,0.63506,575,0.01293,-1473
577,jb02,0.63218,1362,0.63506,576,0.00288,-786
578,gibraltarmonkey,0.65374,173,0.63506,577,-0.01868,404
579,DavidJeters,0.62931,1542,0.63506,578,0.00575,-964
580,Lu,0.65230,199,0.63506,579,-0.01724,380
581,CBou,0.64224,624,0.63506,580,-0.00718,-44
582,VTan,0.66092,75,0.63506,581,-0.02586,506
583,Bcottman,0.62931,1564,0.63506,582,0.00575,-982
584,HieuLE,0.62356,2008,0.63506,583,0.01150,-1425
585,Vladimir Labov,0.63506,1102,0.63506,584,0.00000,-518
586,bdanalytics,0.62356,2004,0.63506,585,0.01150,-1419
587,PriyamPatel,0.63937,798,0.63506,586,-0.00431,-212
588,HL5240,0.65374,174,0.63506,587,-0.01868,413
589,konatsu0613,0.65374,189,0.63506,588,-0.01868,399
590,vtm2015,0.64943,314,0.63506,589,-0.01437,275
591,Behzad I,0.65086,262,0.63506,590,-0.01580,328
592,ThomasD,0.65086,263,0.63506,591,-0.01580,328
593,leon,0.64080,724,0.63506,592,-0.00574,-132
594,Michal keysman,0.64080,746,0.63506,593,-0.00574,-153
595,Har Har,0.60489,2558,0.63506,594,0.03017,-1964
596,simkestuff,0.64655,456,0.63506,595,-0.01149,139
597,mehh,0.62931,1527,0.63506,596,0.00575,-931
598,Jotape,0.63793,882,0.63506,597,-0.00287,-285
599,JMMR,0.62356,2015,0.63506,598,0.01150,-1417
600,Alan,0.64224,620,0.63506,599,-0.00718,-21
601,Aleksey Vlasenko,0.62644,1875,0.63506,600,0.00862,-1275
602,ScottSimpson,0.64080,722,0.63506,601,-0.00574,-121
603,Jesica Estefan,0.66379,57,0.63506,602,-0.02873,545
604,Sailor,0.63649,1013,0.63506,603,-0.00143,-410
605,esejo,0.63218,1314,0.63506,604,0.00288,-710
606,Nathan365,0.64943,319,0.63506,605,-0.01437,286
607,s sahoo,0.65661,127,0.63506,606,-0.02155,479
608,Dieu Thuy,0.62644,1864,0.63506,607,0.00862,-1257
609,fattyguminho,0.62931,1659,0.63506,608,0.00575,-1051
610,atrillo,0.62931,1516,0.63506,609,0.00575,-907
611,TonyChuo,0.64943,321,0.63506,610,-0.01437,289
612,lydmei,0.63218,1315,0.63506,611,0.00288,-704
613,TonyRBH,0.65948,91,0.63506,612,-0.02442,521
614,Aja Manu,0.63649,1026,0.63506,613,-0.00143,-413
615,alach11,0.64224,652,0.63506,614,-0.00718,-38
616,shashank somani,0.63937,837,0.63506,615,-0.00431,-222
617,Neal,0.62931,1693,0.63506,616,0.00575,-1077
618,Varun Mohan,0.62644,1895,0.63506,617,0.00862,-1278
619,Gilbert Martínez Gamote,0.62931,1627,0.63506,618,0.00575,-1009
620,natalieerinsheneman,0.63362,1215,0.63506,619,0.00144,-596
621,Valentin Longato,0.64368,581,0.63506,620,-0.00862,39
622,SomsubhraGhosh,0.63506,1128,0.63506,621,0.00000,-507
623,plagioni,0.64224,657,0.63506,622,-0.00718,-35
624,Redsky84,0.64368,559,0.63506,623,-0.00862,64
625,PetoM,0.64799,393,0.63506,624,-0.01293,231
626,Giovanni Depunzio,0.64080,754,0.63506,625,-0.00574,-129
627,DvD,0.65086,292,0.63506,626,-0.01580,334
628,latebeaver,0.64224,670,0.63506,627,-0.00718,-43
629,NasimVakili,0.61638,2438,0.63506,628,0.01868,-1810
630,Mihai,0.63793,945,0.63506,629,-0.00287,-316
631,V_Hume,0.65805,110,0.63506,630,-0.02299,520
632,MathPP,0.61351,2476,0.63506,631,0.02155,-1845
633,alr,0.63793,884,0.63506,632,-0.00287,-252
634,Sowmya,0.63793,951,0.63506,633,-0.00287,-318
635,James N,0.64943,341,0.63506,634,-0.01437,293
636,Nipun Yerramalla,0.64655,455,0.63506,635,-0.01149,180
637,Virginija,0.67098,30,0.63506,636,-0.03592,606
638,Sai Ravi Teja Pingali,0.65805,113,0.63506,637,-0.02299,524
639,MattyH,0.64368,589,0.63506,638,-0.00862,49
640,GrizCollazo1,0.63075,1453,0.63506,639,0.00431,-814
641,18360,0.65948,93,0.63506,640,-0.02442,547
642,Ali Al-Qahtani,0.63075,1458,0.63506,641,0.00431,-817
643,Viacheslav Kolupaev,0.63793,959,0.63506,642,-0.00287,-317
644,Philipp Große,0.64080,771,0.63506,643,-0.00574,-128
645,lomax79,0.63649,1061,0.63506,644,-0.00143,-417
646,krimonk,0.62356,2040,0.63506,645,0.01150,-1395
647,Krzysztof Suwi?ski,0.64080,775,0.63506,646,-0.00574,-129
648,jnsplt,0.64511,538,0.63506,647,-0.01005,109
649,Nick O'Neill,0.62644,1856,0.63362,648,0.00718,-1208
650,Vinyas,0.63937,827,0.63362,649,-0.00575,-178
651,sreenix,0.63937,779,0.63362,650,-0.00575,-129
652,richard braae,0.63218,1264,0.63362,651,0.00144,-613
653,GerardoSC,0.66236,58,0.63362,652,-0.02874,594
654,Jensen,0.65948,85,0.63362,653,-0.02586,568
655,bettertryharder,0.64224,598,0.63362,654,-0.00862,56
656,Ayham,0.62500,1919,0.63362,655,0.00862,-1264
657,CvT007,0.65230,215,0.63362,656,-0.01868,441
658,Joff Cornelis,0.64511,475,0.63362,657,-0.01149,182
659,DeepakS,0.63362,1183,0.63362,658,0.00000,-525
660,Alberto Garrido,0.64799,360,0.63362,659,-0.01437,299
661,Benjamin,0.63937,796,0.63362,660,-0.00575,-136
662,Shalunishka,0.64368,554,0.63362,661,-0.01006,107
663,BeataStehlikova81,0.64655,417,0.63362,662,-0.01293,245
664,Unnikrishnan,0.65517,146,0.63362,663,-0.02155,517
665,Pedro R3 Junior,0.64655,418,0.63362,664,-0.01293,246
666,lcousin,0.64224,614,0.63362,665,-0.00862,51
667,shareen,0.64511,482,0.63362,666,-0.01149,184
668,DanDare,0.63218,1285,0.63362,667,0.00144,-618
669,GVoinea,0.65948,87,0.63362,668,-0.02586,581
670,Alberto1512,0.64799,366,0.63362,669,-0.01437,303
671,mccmcc,0.65517,149,0.63362,670,-0.02155,521
672,Sonos,0.65517,152,0.63362,671,-0.02155,519
673,Komma,0.64224,653,0.63362,672,-0.00862,19
674,aschriber,0.64943,339,0.63362,673,-0.01581,334
675,CupAJoe,0.62787,1778,0.63362,674,0.00575,-1104
676,randomDeforestation,0.64511,493,0.63362,675,-0.01149,182
677,????,0.63793,902,0.63362,676,-0.00431,-226
678,FilippoCavallari,0.62931,1595,0.63362,677,0.00431,-918
679,MarekZ?akowski,0.64799,386,0.63362,678,-0.01437,292
680,VolodymyrDovganyk,0.63793,901,0.63362,679,-0.00431,-222
681,Frank 3,0.64368,555,0.63362,680,-0.01006,125
682,Clutch,0.64943,309,0.63362,681,-0.01581,372
683,DavideMandrini,0.64368,557,0.63362,682,-0.01006,125
684,BenHawkins,0.62356,2009,0.63362,683,0.01006,-1326
685,T.j.Mannos,0.63075,1401,0.63362,684,0.00287,-717
686,PallabMishra,0.62644,1861,0.63362,685,0.00718,-1176
687,jimNH,0.65948,86,0.63362,686,-0.02586,600
688,lucytran,0.65805,104,0.63362,687,-0.02443,583
689,LuizCarlosPellegrini,0.63075,1414,0.63362,688,0.00287,-726
690,Neal Dowling,0.62644,1869,0.63362,689,0.00718,-1180
691,adrianmendez16,0.63506,1140,0.63362,690,-0.00144,-450
692,velox15,0.64655,437,0.63362,691,-0.01293,254
693,Rudi Kruger,0.65230,234,0.63362,692,-0.01868,458
694,ArnbjornIngimundarson,0.63506,1116,0.63362,693,-0.00144,-423
695,Niranjan,0.63506,1117,0.63362,694,-0.00144,-423
696,vplpaul,0.61494,2448,0.63362,695,0.01868,-1753
697,wiceradon,0.64224,641,0.63362,696,-0.00862,55
698,DuncanWilliamson,0.62500,1951,0.63362,697,0.00862,-1254
699,Spud.Aldridge,0.63362,1201,0.63362,698,0.00000,-503
700,Anita,0.61925,2217,0.63362,699,0.01437,-1518
701,patrick_scott,0.63649,1015,0.63362,700,-0.00287,-315
702,Arihant,0.63937,829,0.63362,701,-0.00575,-128
703,thabs,0.62787,1773,0.63362,702,0.00575,-1071
704,EwaW,0.64655,416,0.63362,703,-0.01293,287
705,Anu Baral,0.65230,226,0.63362,704,-0.01868,478
706,Marianna,0.63218,1321,0.63362,705,0.00144,-616
707,Fabian,0.65230,221,0.63362,706,-0.01868,485
708,srajasek,0.63649,1033,0.63362,707,-0.00287,-326
709,Nostradata,0.64511,511,0.63362,708,-0.01149,197
710,ArunkumarYalamarthy,0.64224,655,0.63362,709,-0.00862,54
711,ryanjerving,0.65661,131,0.63362,710,-0.02299,579
712,Attila Gardos,0.66092,74,0.63362,711,-0.02730,637
713,Jetkin,0.61063,2508,0.63362,712,0.02299,-1796
714,Matthew Cutmore,0.64080,727,0.63362,713,-0.00718,-14
715,KimAlderman,0.62787,1786,0.63362,714,0.00575,-1072
716,JohnWick,0.62787,1801,0.63362,715,0.00575,-1086
717,Shashi Bhushan Singh,0.62644,1884,0.63362,716,0.00718,-1168
718,ScottL,0.64224,646,0.63362,717,-0.00862,71
719,Nitin,0.66379,53,0.63362,718,-0.03017,665
720,yvemeng,0.60776,2533,0.63362,719,0.02586,-1814
721,JamisonSS,0.61925,2243,0.63362,720,0.01437,-1523
722,jarrah82,0.63218,1342,0.63362,721,0.00144,-621
723,Magdalena Witecka,0.64655,454,0.63362,722,-0.01293,268
724,Yossi Bushida,0.64655,450,0.63362,723,-0.01293,273
725,Andrew Francis,0.63362,1191,0.63362,724,0.00000,-467
726,JuanDavidBolivar,0.63793,930,0.63362,725,-0.00431,-205
727,BrigHedT,0.63937,858,0.63362,726,-0.00575,-132
728,NickVasa,0.65086,290,0.63362,727,-0.01724,437
729,Aminoor,0.64511,512,0.63362,728,-0.01149,216
730,PMan,0.63075,1450,0.63362,729,0.00287,-721
731,afaruque,0.65374,194,0.63362,730,-0.02012,536
732,Paavo,0.64943,333,0.63362,731,-0.01581,398
733,JustinSheldon,0.62787,1809,0.63362,732,0.00575,-1077
734,HCLim,0.64943,334,0.63362,733,-0.01581,399
735,CharlieStElmo,0.63793,939,0.63362,734,-0.00431,-205
736,shan,0.64799,377,0.63362,735,-0.01437,358
737,AdamKrawiec,0.63937,836,0.63362,736,-0.00575,-100
738,KrishnamurthyTV,0.63937,849,0.63362,737,-0.00575,-112
739,Pedro Q,0.65086,252,0.63362,738,-0.01724,486
740,komaira,0.63362,1218,0.63362,739,0.00000,-479
741,dmtkir,0.61638,2439,0.63362,740,0.01724,-1699
742,insad,0.64368,584,0.63362,741,-0.01006,157
743,Jeff Taff,0.64655,451,0.63362,742,-0.01293,291
744,cookieRR,0.63793,949,0.63362,743,-0.00431,-206
745,Anh T. Nguyen,0.61925,2286,0.63362,744,0.01437,-1542
746,ci49,0.63362,1243,0.63362,745,0.00000,-498
747,GeetasaiSrivatsav,0.63793,952,0.63362,746,-0.00431,-206
748,RodolfoTroncoso,0.63362,1239,0.63362,747,0.00000,-492
749,AnthonyPak,0.61494,2457,0.63362,748,0.01868,-1709
750,Rick,0.64080,752,0.63362,749,-0.00718,-3
751,Kim SO,0.63937,859,0.63362,750,-0.00575,-109
752,rence,0.65230,235,0.63362,751,-0.01868,516
753,ShrutiAngadi,0.64511,523,0.63362,752,-0.01149,229
754,Eftihis,0.63649,1042,0.63362,753,-0.00287,-289
755,soylentgreen70,0.63937,839,0.63362,754,-0.00575,-85
756,Nataly Rekuz,0.64080,766,0.63362,755,-0.00718,-11
757,Preet,0.64224,675,0.63362,756,-0.00862,81
758,Choicy,0.65086,291,0.63362,757,-0.01724,466
759,Shafiq,0.64511,525,0.63362,758,-0.01149,233
760,VinnieChoi,0.64080,764,0.63362,759,-0.00718,-5
761,Qian Xie,0.62931,1742,0.63362,760,0.00431,-982
762,Mugu,0.62787,1816,0.63362,761,0.00575,-1055
763,KieranKelliher,0.64511,531,0.63362,762,-0.01149,231
764,arjsat,0.64943,346,0.63362,763,-0.01581,417
765,JonathanChang,0.60920,2523,0.63362,764,0.02442,-1759
766,MiltiadisSarakinos,0.63793,960,0.63362,765,-0.00431,-195
767,Data Scientist,0.62931,1653,0.63362,766,0.00431,-887
768,Pramit,0.60920,2522,0.63362,767,0.02442,-1755
769,addy mell,0.62500,1984,0.63362,768,0.00862,-1216
770,FayyazAzam,0.64655,449,0.63362,769,-0.01293,320
771,Rishabh Jain,0.63506,1120,0.63362,770,-0.00144,-350
772,Rochit,0.65374,195,0.63362,771,-0.02012,576
773,shishirgoel,0.60201,2589,0.63362,772,0.03161,-1817
774,Dim,0.64511,463,0.63218,773,-0.01293,310
775,PritamBasu,0.62787,1777,0.63218,774,0.00431,-1003
776,Gergely Petho,0.63649,963,0.63218,775,-0.00431,-188
777,Robert Lucyshyn,0.63937,781,0.63218,776,-0.00719,-5
778,ShadowfaxRider,0.63793,875,0.63218,777,-0.00575,-98
779,Koszela,0.63506,1105,0.63218,778,-0.00288,-327
780,Sudipta,0.65086,286,0.63218,779,-0.01868,493
781,wahrsagevogel,0.64943,300,0.63218,780,-0.01725,480
782,hariharan_b83,0.63649,974,0.63218,781,-0.00431,-193
783,Mykel,0.65230,242,0.63218,782,-0.02012,540
784,Olga,0.66667,37,0.63218,783,-0.03449,746
785,skylark33,0.63506,1086,0.63218,784,-0.00288,-302
786,SanjayKumarM,0.65230,203,0.63218,785,-0.02012,582
787,Asmus,0.64943,316,0.63218,786,-0.01725,470
788,Aleksandr,0.63937,795,0.63218,787,-0.00719,-8
789,Sean Patel,0.63937,792,0.63218,788,-0.00719,-4
790,SkyWa1ker,0.63649,973,0.63218,789,-0.00431,-184
791,AR1000,0.64655,421,0.63218,790,-0.01437,369
792,mathengineer,0.62644,1848,0.63218,791,0.00574,-1057
793,Verônica Almeida,0.63075,1421,0.63218,792,0.00143,-629
794,rodrigoxaos,0.63937,799,0.63218,793,-0.00719,-6
795,JimParinella,0.63793,886,0.63218,794,-0.00575,-92
796,bpence,0.62931,1573,0.63218,795,0.00287,-778
797,Olena Smotrova,0.62644,1846,0.63218,796,0.00574,-1050
798,JohnF,0.64224,616,0.63218,797,-0.01006,181
799,Mike,0.64799,369,0.63218,798,-0.01581,429
800,Michael Koelbl,0.64224,618,0.63218,799,-0.01006,181
801,Bobby,0.63506,1088,0.63218,800,-0.00288,-288
802,Tat-Dat,0.64080,715,0.63218,801,-0.00862,86
803,Arthur,0.63362,1226,0.63218,802,-0.00144,-424
804,wrickk,0.62356,2006,0.63218,803,0.00862,-1203
805,Alex Rabinovich,0.62931,1466,0.63218,804,0.00287,-662
806,Abbhinav Srivastava,0.63649,987,0.63218,805,-0.00431,-182
807,EmmanuelMaillet,0.64655,430,0.63218,806,-0.01437,376
808,Martin Stark,0.65230,222,0.63218,807,-0.02012,585
809,Chu,0.63362,1189,0.63218,808,-0.00144,-381
810,isaranja,0.63218,1293,0.63218,809,0.00000,-484
811,KalyanPerisetty,0.65948,89,0.63218,810,-0.02730,721
812,SooryaNarayan,0.63218,1296,0.63218,811,0.00000,-485
813,Laszlo,0.63793,900,0.63218,812,-0.00575,-88
814,bensaccount,0.65661,124,0.63218,813,-0.02443,689
815,kiwizen,0.63793,896,0.63218,814,-0.00575,-82
816,jjtatx,0.63649,997,0.63218,815,-0.00431,-182
817,Lalit,0.64655,434,0.63218,816,-0.01437,382
818,SundayDriver,0.62356,2012,0.63218,817,0.00862,-1195
819,MuditaJain,0.61782,2402,0.63218,818,0.01436,-1584
820,Lev Kiwi,0.64799,364,0.63218,819,-0.01581,455
821,Roof,0.61925,2250,0.63218,820,0.01293,-1430
822,Syed Waseem Ud Din,0.64943,326,0.63218,821,-0.01725,495
823,Javier Portillo,0.63793,923,0.63218,822,-0.00575,-101
824,JohnSmith,0.64799,373,0.63218,823,-0.01581,450
825,Jayant Mulmoodi,0.63218,1361,0.63218,824,0.00000,-537
826,AdamKoprowski,0.62931,1641,0.63218,825,0.00287,-816
827,Alexander Semenov,0.62356,2019,0.63218,826,0.00862,-1193
828,MukundBharadwaj,0.62500,1947,0.63218,827,0.00718,-1120
829,Ibrahim Ozturk,0.63649,1019,0.63218,828,-0.00431,-191
830,Steinarts,0.63937,826,0.63218,829,-0.00719,3
831,KirstenHunt,0.65230,224,0.63218,830,-0.02012,606
832,Nikhil,0.62931,1669,0.63218,831,0.00287,-838
833,Fidel Torres,0.65517,156,0.63218,832,-0.02299,676
834,ELBN,0.61063,2506,0.63218,833,0.02155,-1673
835,Erikson,0.67098,28,0.63218,834,-0.03880,806
836,Emmett,0.64080,740,0.63218,835,-0.00862,95
837,Craig Keating,0.63649,1012,0.63218,836,-0.00431,-176
838,RicardoMatos,0.65661,119,0.63218,837,-0.02443,718
839,suresh 2,0.63218,1328,0.63218,838,0.00000,-490
840,yosefardhito,0.62500,1949,0.63218,839,0.00718,-1110
841,ShintoTheruvil,0.64655,410,0.63218,840,-0.01437,430
842,Umang Gupta,0.63649,1028,0.63218,841,-0.00431,-187
843,Sudhansu Sekhar Senapati,0.62787,1799,0.63218,842,0.00431,-957
844,nietek,0.65374,175,0.63218,843,-0.02156,668
845,Vladimir,0.65517,143,0.63218,844,-0.02299,701
846,amzgsteve,0.64368,568,0.63218,845,-0.01150,277
847,E. ALFA,0.65374,184,0.63218,846,-0.02156,662
848,AdamKaczmarek,0.63218,1337,0.63218,847,0.00000,-490
849,Kchem,0.64080,747,0.63218,848,-0.00862,101
850,ingoraum,0.64368,551,0.63218,849,-0.01150,298
851,dishashree,0.65805,103,0.63218,850,-0.02587,747
852,Saugata Ghosh,0.65086,279,0.63218,851,-0.01868,572
853,Alexander Bogdanov,0.64080,769,0.63218,852,-0.00862,83
854,Javier Andres Gallego,0.64511,513,0.63218,853,-0.01293,340
855,DataPlan,0.64368,574,0.63218,854,-0.01150,280
856,M2K,0.65517,159,0.63218,855,-0.02299,696
857,Victor Martinez,0.62500,1956,0.63218,856,0.00718,-1100
858,Martin Babic,0.62931,1699,0.63218,857,0.00287,-842
859,Milina,0.62644,1888,0.63218,858,0.00574,-1030
860,intarsia,0.63793,878,0.63218,859,-0.00575,-19
861,nikhithvasa,0.62500,1960,0.63218,860,0.00718,-1100
862,John Lionas,0.63506,1123,0.63218,861,-0.00288,-262
863,KartikKannapur,0.63362,1221,0.63218,862,-0.00144,-359
864,yesus,0.65805,107,0.63218,863,-0.02587,756
865,yogeshwar,0.63075,1439,0.63218,864,0.00143,-575
866,Allan Bosco Mugabe,0.63506,1131,0.63218,865,-0.00288,-266
867,talianotchka,0.63793,941,0.63218,866,-0.00575,-75
868,AngelosSiakantaris,0.62500,1976,0.63218,867,0.00718,-1109
869,thembalethu,0.63506,1132,0.63218,868,-0.00288,-264
870,Maverick,0.63937,852,0.63218,869,-0.00719,17
871,esejacobito,0.63218,1352,0.63218,870,0.00000,-482
872,NicolasMartin,0.64511,535,0.63218,871,-0.01293,336
873,FernandoPellegrini,0.65086,275,0.63218,872,-0.01868,597
874,mhicks0203,0.65086,288,0.63218,873,-0.01868,585
875,_Eric_,0.64943,340,0.63218,874,-0.01725,534
